Suceessfully loaded the All setting and Log file.
MyResNet32_128_SGD_MultiStepLR_myresnet
1 epoch: train_loss=2.3760, train_acc=0.1281, test_loss=2.0872, test_acc=0.2151, lr=0.1000
35 epoch: train_loss=0.0926, train_acc=0.9677, test_loss=0.8610, test_acc=0.7918, lr=0.1000
36 epoch: train_loss=0.0950, train_acc=0.9670, test_loss=1.0554, test_acc=0.7837, lr=0.1000
37 epoch: train_loss=0.1019, train_acc=0.9641, test_loss=0.9773, test_acc=0.7797, lr=0.1000
38 epoch: train_loss=0.0801, train_acc=0.9716, test_loss=1.0839, test_acc=0.7763, lr=0.1000
39 epoch: train_loss=0.0778, train_acc=0.9734, test_loss=1.1214, test_acc=0.7520, lr=0.1000
40 epoch: train_loss=0.0916, train_acc=0.9675, test_loss=0.9503, test_acc=0.7843, lr=0.1000
41 epoch: train_loss=0.0878, train_acc=0.9695, test_loss=0.9102, test_acc=0.7859, lr=0.1000
42 epoch: train_loss=0.0911, train_acc=0.9683, test_loss=0.8190, test_acc=0.8007, lr=0.1000
43 epoch: train_loss=0.0830, train_acc=0.9718, test_loss=0.8131, test_acc=0.8024, lr=0.1000
44 epoch: train_loss=0.0902, train_acc=0.9679, test_loss=0.8518, test_acc=0.7987, lr=0.1000
45 epoch: train_loss=0.0797, train_acc=0.9722, test_loss=0.8160, test_acc=0.8106, lr=0.1000
46 epoch: train_loss=0.0814, train_acc=0.9717, test_loss=0.8624, test_acc=0.8045, lr=0.1000
47 epoch: train_loss=0.0862, train_acc=0.9704, test_loss=0.8713, test_acc=0.7978, lr=0.1000
48 epoch: train_loss=0.0802, train_acc=0.9718, test_loss=1.0038, test_acc=0.7861, lr=0.1000
49 epoch: train_loss=0.0823, train_acc=0.9708, test_loss=0.9151, test_acc=0.7982, lr=0.1000
50 epoch: train_loss=0.0769, train_acc=0.9737, test_loss=0.9831, test_acc=0.7848, lr=0.1000
51 epoch: train_loss=0.0826, train_acc=0.9706, test_loss=0.8744, test_acc=0.8057, lr=0.1000
52 epoch: train_loss=0.0766, train_acc=0.9731, test_loss=0.7316, test_acc=0.8258, lr=0.1000
53 epoch: train_loss=0.0813, train_acc=0.9707, test_loss=1.0945, test_acc=0.7792, lr=0.1000
54 epoch: train_loss=0.0882, train_acc=0.9685, test_loss=0.8451, test_acc=0.8067, lr=0.1000
55 epoch: train_loss=0.0763, train_acc=0.9734, test_loss=0.8801, test_acc=0.7962, lr=0.1000
56 epoch: train_loss=0.0869, train_acc=0.9706, test_loss=0.8726, test_acc=0.7949, lr=0.1000
57 epoch: train_loss=0.0802, train_acc=0.9715, test_loss=0.8907, test_acc=0.7997, lr=0.1000
58 epoch: train_loss=0.0785, train_acc=0.9728, test_loss=0.7983, test_acc=0.8054, lr=0.1000
59 epoch: train_loss=0.0729, train_acc=0.9743, test_loss=0.8329, test_acc=0.8018, lr=0.1000
60 epoch: train_loss=0.0750, train_acc=0.9742, test_loss=0.8636, test_acc=0.7983, lr=0.1000
61 epoch: train_loss=0.0845, train_acc=0.9705, test_loss=0.9415, test_acc=0.7846, lr=0.1000
62 epoch: train_loss=0.0754, train_acc=0.9743, test_loss=0.7407, test_acc=0.8196, lr=0.1000
63 epoch: train_loss=0.0698, train_acc=0.9761, test_loss=0.8158, test_acc=0.8083, lr=0.1000
64 epoch: train_loss=0.0794, train_acc=0.9723, test_loss=0.9052, test_acc=0.7926, lr=0.1000
65 epoch: train_loss=0.0733, train_acc=0.9747, test_loss=0.8135, test_acc=0.8048, lr=0.1000
66 epoch: train_loss=0.0797, train_acc=0.9727, test_loss=0.8118, test_acc=0.8065, lr=0.1000
67 epoch: train_loss=0.0706, train_acc=0.9747, test_loss=1.0193, test_acc=0.7795, lr=0.1000
68 epoch: train_loss=0.0855, train_acc=0.9711, test_loss=0.7866, test_acc=0.8117, lr=0.1000
69 epoch: train_loss=0.0695, train_acc=0.9762, test_loss=0.9164, test_acc=0.7990, lr=0.1000
70 epoch: train_loss=0.0779, train_acc=0.9728, test_loss=1.0130, test_acc=0.7847, lr=0.1000
71 epoch: train_loss=0.0714, train_acc=0.9750, test_loss=0.7945, test_acc=0.8146, lr=0.1000
72 epoch: train_loss=0.0784, train_acc=0.9725, test_loss=0.9176, test_acc=0.7890, lr=0.1000
73 epoch: train_loss=0.0770, train_acc=0.9729, test_loss=0.8363, test_acc=0.7996, lr=0.1000
74 epoch: train_loss=0.0728, train_acc=0.9747, test_loss=0.9234, test_acc=0.7925, lr=0.1000
75 epoch: train_loss=0.0851, train_acc=0.9702, test_loss=1.0010, test_acc=0.7810, lr=0.1000
76 epoch: train_loss=0.0722, train_acc=0.9747, test_loss=0.7170, test_acc=0.8258, lr=0.1000
77 epoch: train_loss=0.0716, train_acc=0.9748, test_loss=0.8520, test_acc=0.8024, lr=0.1000
78 epoch: train_loss=0.0671, train_acc=0.9767, test_loss=1.0100, test_acc=0.7850, lr=0.1000
79 epoch: train_loss=0.0802, train_acc=0.9718, test_loss=1.0067, test_acc=0.7769, lr=0.1000
80 epoch: train_loss=0.0694, train_acc=0.9757, test_loss=0.8375, test_acc=0.8038, lr=0.1000
81 epoch: train_loss=0.0742, train_acc=0.9743, test_loss=1.0409, test_acc=0.7620, lr=0.1000
82 epoch: train_loss=0.0788, train_acc=0.9716, test_loss=0.8327, test_acc=0.8101, lr=0.1000
83 epoch: train_loss=0.0226, train_acc=0.9935, test_loss=0.6173, test_acc=0.8506, lr=0.0100
84 epoch: train_loss=0.0077, train_acc=0.9993, test_loss=0.6152, test_acc=0.8525, lr=0.0100
85 epoch: train_loss=0.0052, train_acc=0.9997, test_loss=0.6211, test_acc=0.8525, lr=0.0100
86 epoch: train_loss=0.0041, train_acc=0.9999, test_loss=0.6116, test_acc=0.8525, lr=0.0100
87 epoch: train_loss=0.0032, train_acc=1.0000, test_loss=0.6198, test_acc=0.8534, lr=0.0100
88 epoch: train_loss=0.0028, train_acc=1.0000, test_loss=0.6148, test_acc=0.8543, lr=0.0100
89 epoch: train_loss=0.0026, train_acc=1.0000, test_loss=0.6214, test_acc=0.8546, lr=0.0100
90 epoch: train_loss=0.0025, train_acc=0.9999, test_loss=0.6275, test_acc=0.8552, lr=0.0100
91 epoch: train_loss=0.0021, train_acc=1.0000, test_loss=0.6375, test_acc=0.8541, lr=0.0100
92 epoch: train_loss=0.0020, train_acc=1.0000, test_loss=0.6309, test_acc=0.8532, lr=0.0100
93 epoch: train_loss=0.0019, train_acc=1.0000, test_loss=0.6185, test_acc=0.8549, lr=0.0100
94 epoch: train_loss=0.0016, train_acc=1.0000, test_loss=0.6248, test_acc=0.8548, lr=0.0100
95 epoch: train_loss=0.0017, train_acc=1.0000, test_loss=0.6356, test_acc=0.8545, lr=0.0100
96 epoch: train_loss=0.0016, train_acc=1.0000, test_loss=0.6296, test_acc=0.8534, lr=0.0100
97 epoch: train_loss=0.0015, train_acc=1.0000, test_loss=0.6191, test_acc=0.8546, lr=0.0100
98 epoch: train_loss=0.0015, train_acc=1.0000, test_loss=0.6132, test_acc=0.8558, lr=0.0100
99 epoch: train_loss=0.0014, train_acc=1.0000, test_loss=0.6189, test_acc=0.8554, lr=0.0100
100 epoch: train_loss=0.0014, train_acc=1.0000, test_loss=0.6178, test_acc=0.8541, lr=0.0100
101 epoch: train_loss=0.0014, train_acc=1.0000, test_loss=0.6167, test_acc=0.8541, lr=0.0100
102 epoch: train_loss=0.0014, train_acc=1.0000, test_loss=0.6248, test_acc=0.8552, lr=0.0100
103 epoch: train_loss=0.0013, train_acc=1.0000, test_loss=0.6180, test_acc=0.8549, lr=0.0100
104 epoch: train_loss=0.0013, train_acc=1.0000, test_loss=0.6178, test_acc=0.8546, lr=0.0100
105 epoch: train_loss=0.0012, train_acc=1.0000, test_loss=0.6278, test_acc=0.8552, lr=0.0100
106 epoch: train_loss=0.0012, train_acc=1.0000, test_loss=0.6177, test_acc=0.8545, lr=0.0100
107 epoch: train_loss=0.0013, train_acc=1.0000, test_loss=0.6125, test_acc=0.8559, lr=0.0100
108 epoch: train_loss=0.0012, train_acc=1.0000, test_loss=0.6106, test_acc=0.8553, lr=0.0100
109 epoch: train_loss=0.0012, train_acc=1.0000, test_loss=0.6116, test_acc=0.8557, lr=0.0100
110 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6127, test_acc=0.8530, lr=0.0100
111 epoch: train_loss=0.0012, train_acc=1.0000, test_loss=0.6115, test_acc=0.8551, lr=0.0100
112 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6043, test_acc=0.8556, lr=0.0100
113 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6176, test_acc=0.8566, lr=0.0100
114 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6133, test_acc=0.8547, lr=0.0100
115 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6020, test_acc=0.8540, lr=0.0100
116 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6065, test_acc=0.8558, lr=0.0100
117 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6036, test_acc=0.8552, lr=0.0100
118 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6025, test_acc=0.8558, lr=0.0100
119 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6055, test_acc=0.8556, lr=0.0100
120 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6030, test_acc=0.8555, lr=0.0100
121 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6043, test_acc=0.8560, lr=0.0100
122 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6004, test_acc=0.8545, lr=0.0100
123 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5968, test_acc=0.8558, lr=0.0100
124 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6014, test_acc=0.8557, lr=0.0010
125 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5946, test_acc=0.8559, lr=0.0010
126 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5998, test_acc=0.8550, lr=0.0010
127 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6041, test_acc=0.8563, lr=0.0010
128 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5921, test_acc=0.8565, lr=0.0010
129 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5970, test_acc=0.8564, lr=0.0010
130 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5948, test_acc=0.8561, lr=0.0010
131 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6005, test_acc=0.8564, lr=0.0010
132 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5987, test_acc=0.8541, lr=0.0010
133 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6038, test_acc=0.8553, lr=0.0010
134 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6025, test_acc=0.8555, lr=0.0010
135 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5927, test_acc=0.8550, lr=0.0010
136 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5951, test_acc=0.8561, lr=0.0010
137 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5944, test_acc=0.8558, lr=0.0010
138 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5913, test_acc=0.8558, lr=0.0010
139 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5922, test_acc=0.8556, lr=0.0010
140 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6007, test_acc=0.8560, lr=0.0010
141 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5891, test_acc=0.8562, lr=0.0010
142 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5953, test_acc=0.8560, lr=0.0010
143 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6016, test_acc=0.8554, lr=0.0010
144 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5916, test_acc=0.8560, lr=0.0010
145 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6158, test_acc=0.8564, lr=0.0010
146 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6036, test_acc=0.8559, lr=0.0010
147 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5998, test_acc=0.8555, lr=0.0010
148 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5973, test_acc=0.8554, lr=0.0010
149 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5950, test_acc=0.8559, lr=0.0010
150 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5940, test_acc=0.8562, lr=0.0010
151 epoch: train_loss=0.0011, train_acc=1.0000, test_loss=0.6031, test_acc=0.8564, lr=0.0010
152 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5909, test_acc=0.8565, lr=0.0010
153 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6049, test_acc=0.8554, lr=0.0010
154 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5937, test_acc=0.8563, lr=0.0010
155 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6011, test_acc=0.8565, lr=0.0010
156 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5966, test_acc=0.8560, lr=0.0010
157 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6014, test_acc=0.8559, lr=0.0010
158 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5953, test_acc=0.8552, lr=0.0010
159 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5966, test_acc=0.8541, lr=0.0010
160 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5996, test_acc=0.8554, lr=0.0010
161 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6050, test_acc=0.8558, lr=0.0010
162 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5895, test_acc=0.8565, lr=0.0010
163 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5928, test_acc=0.8551, lr=0.0010
164 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5944, test_acc=0.8562, lr=0.0010
165 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.6020, test_acc=0.8571, lr=0.0010
166 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5909, test_acc=0.8547, lr=0.0010
167 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5987, test_acc=0.8563, lr=0.0010
168 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5909, test_acc=0.8532, lr=0.0010
169 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5986, test_acc=0.8563, lr=0.0010
170 epoch: train_loss=0.0010, train_acc=1.0000, test_loss=0.5995, test_acc=0.8559, lr=0.0010
